date,air_pressure,water_vapor_pressure,relative_air_humidity,specific_air_humidity,average_cloud_cover,temperature,wind_speed,downfall,cloudy_weather
datetime64[ns],object,float64,float64,float64,float64,float64,float64,float64,float64
2002-08-16 00:00:00,1005.9,11.8,68.0,,,17.0,3.6,0.0,
2002-08-17 00:00:00,1004.8,15.0,65.0,,,18.8,3.1,0.0,
2002-08-18 00:00:00,1003.8,11.7,43.0,,,23.5,5.1,0.0,
2002-08-19 00:00:00,1002.7,11.7,52.0,,,22.4,5.1,0.0,
2002-08-20 00:00:00,1001.4,13.9,46.0,,,21.5,4.1,0.0,
2002-08-21 00:00:00,1001.9,14.9,67.0,,,19.2,5.1,0.0,
2002-08-22 00:00:00,1005.3,15.4,72.0,,,18.7,3.6,0.0,
2002-08-23 00:00:00,1007.1,17.4,80.0,,,18.0,3.6,0.0,
2002-08-24 00:00:00,1006.8,11.5,50.0,,,21.0,4.6,0.0,
2002-08-25 00:00:00,1008.4,14.6,72.0,,,17.2,4.6,0.0,
2002-08-26 00:00:00,1008.9,13.8,80.0,,,16.2,2.6,0.1,
2002-08-27 00:00:00,1000.4,12.3,72.0,,,16.4,4.1,0.1,
2002-08-28 00:00:00,999,10.8,74.0,,,12.5,5.7,3.8,
2002-08-29 00:00:00,990.6,13.8,80.0,,,14.0,4.6,0.3,
2002-08-30 00:00:00,989,11.7,83.0,,,13.4,6.2,5.2,
2002-08-31 00:00:00,987.6,10.5,83.0,,,11.7,8.2,3.3,
2002-09-01 00:00:00,1006.1,10.7,75.0,,,11.7,6.7,6.3,
2002-09-02 00:00:00,1001.9,13.1,71.0,,,13.0,4.1,1.7,
2002-09-03 00:00:00,1010,12.9,88.0,,,11.8,5.7,3.6,
2002-09-04 00:00:00,999.8,12.9,80.0,,,14.6,3.6,0.6,
2002-09-05 00:00:00,987.5,13.5,65.0,,,16.5,6.2,0.0,
2002-09-06 00:00:00,989,11.0,79.0,,,12.1,3.6,0.1,
2002-09-07 00:00:00,992.1,12.6,79.0,,,12.5,3.1,3.2,
2002-09-08 00:00:00,1002.2,13.4,80.0,,,14.0,3.6,0.0,
2002-09-09 00:00:00,1011.2,10.5,75.0,,,13.8,3.6,0.0,
2002-09-10 00:00:00,1011.4,12.5,84.0,,,12.3,4.1,0.0,
2002-09-11 00:00:00,1015.9,12.9,70.0,,,15.0,3.6,0.0,
2002-09-12 00:00:00,1016.3,14.0,78.0,,,14.0,4.1,0.0,
2002-09-13 00:00:00,1010.8,11.1,90.0,,,12.3,5.7,3.2,
2002-09-14 00:00:00,1010.4,7.6,72.0,,,10.2,5.1,2.6,
2002-09-15 00:00:00,1005.2,11.1,80.0,,,9.8,5.1,0.1,
2002-09-16 00:00:00,997.7,10.8,89.0,,,11.4,4.6,6.5,
2002-09-17 00:00:00,993.3,10.0,88.0,,,9.5,4.6,4.1,
2002-09-18 00:00:00,995.8,9.1,86.0,,,8.3,5.7,11.5,
2002-09-19 00:00:00,997.6,8.9,84.0,,,7.7,4.1,7.8,
2002-09-20 00:00:00,998.7,8.5,82.0,,,8.0,2.1,0.0,
2002-09-21 00:00:00,998.9,9.2,90.0,,,7.3,3.6,1.0,
2002-09-22 00:00:00,1006.9,6.5,80.0,,,6.5,3.1,13.8,
2002-09-23 00:00:00,1004.2,8.4,82.0,,,5.6,6.7,0.0,
2002-09-24 00:00:00,998.8,7.8,81.0,,,8.1,6.7,5.4,
2002-09-25 00:00:00,997.8,7.0,86.0,,,4.0,5.7,3.4,
2002-09-26 00:00:00,1000.2,5.9,77.0,,,3.7,3.6,1.9,
2002-09-27 00:00:00,1000.1,9.8,78.0,,,6.5,3.1,0.0,
2002-09-28 00:00:00,996.8,10.9,80.0,,,10.5,8.2,5.7,
2002-09-29 00:00:00,999.6,9.4,80.0,,,8.7,5.1,7.2,
2002-09-30 00:00:00,999.6,8.7,87.0,,,8.4,7.2,15.1,
2002-10-01 00:00:00,1007.5,7.0,87.0,,,4.7,3.1,7.0,
2002-10-02 00:00:00,1007.1,8.1,88.0,,,3.6,3.6,0.0,
2002-10-03 00:00:00,1000.3,8.8,86.0,,,6.9,3.1,0.0,
2002-10-04 00:00:00,996.8,9.3,85.0,,,7.7,7.2,0.2,
2002-10-05 00:00:00,1000,7.9,94.0,,,4.5,4.1,10.8,
2002-10-06 00:00:00,1007.8,5.4,86.0,,,2.4,5.1,5.2,
2002-10-07 00:00:00,1009.3,3.8,60.0,,,0.9,3.1,0.4,
2002-10-08 00:00:00,1009.3,4.1,55.0,,,2.3,5.7,0.0,
2002-10-09 00:00:00,1011.8,4.6,57.0,,,3.2,4.1,0.0,
