Navn,Stasjon,Tid(norsk normaltid),Middeltemperatur (dogn),Kraftigste middelvind (dogn),Nedbor (dogn),Overskya vaer (dogn)
Trondheim - Voll,SN68860,14.05.2011,8.7,3.6,5.9,0
Trondheim - Voll,SN68860,15.05.2011,9.2,3.8,2.8,0
Trondheim - Voll,SN68860,16.05.2011,8.2,4.4,0.6,1
Trondheim - Voll,SN68860,17.05.2011,7.6,6.3,3.2,0
Trondheim - Voll,SN68860,18.05.2011,10.1,5.3,2.5,0
Trondheim - Voll,SN68860,19.05.2011,10.2,6.3,1.3,0
Trondheim - Voll,SN68860,20.05.2011,11,9.3,0.9,0
Trondheim - Voll,SN68860,21.05.2011,10,7,0.8,0
Trondheim - Voll,SN68860,22.05.2011,14.1,7.3,0,0
Trondheim - Voll,SN68860,23.05.2011,12.6,7.3,0.2,0
Trondheim - Voll,SN68860,24.05.2011,10.9,9.9,0,1
Trondheim - Voll,SN68860,25.05.2011,7.5,6.6,0.1,1
Trondheim - Voll,SN68860,26.05.2011,8.2,5.1,5.1,0
Trondheim - Voll,SN68860,27.05.2011,7.9,4.1,1,1
Trondheim - Voll,SN68860,28.05.2011,8.7,4.7,1.1,1
Trondheim - Voll,SN68860,29.05.2011,8.3,4.6,7.2,0
Trondheim - Voll,SN68860,30.05.2011,9.1,4.8,5.4,1
Trondheim - Voll,SN68860,31.05.2011,8.7,3.7,3.2,1
Trondheim - Voll,SN68860,01.06.2011,10.8,5.7,3.8,1
Trondheim - Voll,SN68860,02.06.2011,11.3,6.8,0.7,1
Trondheim - Voll,SN68860,03.06.2011,12.7,6.6,1.9,1
Trondheim - Voll,SN68860,04.06.2011,9.3,14,4,0
Trondheim - Voll,SN68860,05.06.2011,10.3,4.1,1.9,0
Trondheim - Voll,SN68860,06.06.2011,15,5.2,0,0
Trondheim - Voll,SN68860,07.06.2011,15.6,4.4,2.5,1
Trondheim - Voll,SN68860,08.06.2011,16.5,4,1.8,0
Trondheim - Voll,SN68860,09.06.2011,20.9,5.8,0,0
Trondheim - Voll,SN68860,10.06.2011,14.3,4.4,5.2,0
Trondheim - Voll,SN68860,11.06.2011,16.4,7.7,0.5,1
Trondheim - Voll,SN68860,12.06.2011,12.1,4,9.8,1
Trondheim - Voll,SN68860,13.06.2011,10.3,3.9,17.8,1
Trondheim - Voll,SN68860,14.06.2011,13.5,5.5,2,1
Trondheim - Voll,SN68860,15.06.2011,10.6,3.8,3.3,1
Trondheim - Voll,SN68860,16.06.2011,14.4,4.6,2,0
Trondheim - Voll,SN68860,17.06.2011,16.5,5.1,0,0
Trondheim - Voll,SN68860,18.06.2011,14.1,5.4,0.6,0
Trondheim - Voll,SN68860,19.06.2011,15.2,5.7,0,0
Trondheim - Voll,SN68860,20.06.2011,13.4,6.1,0.2,0
Trondheim - Voll,SN68860,21.06.2011,9.3,7.1,0.1,1
Trondheim - Voll,SN68860,22.06.2011,9.5,7,0.5,1
Trondheim - Voll,SN68860,23.06.2011,10.5,3.8,0.3,1
Trondheim - Voll,SN68860,24.06.2011,9.2,4.1,12.3,1
